Dataset_Type,Model,Feature_Set,Recall_Fraud,Precision_Fraud,F1_Fraud,ROC_AUC,PR_AUC
2,Random Forest,PCA Features,0.7368,0.8537,0.791,0.9531,0.796
0,Random Forest,Selected Features,0.7368,0.8861,0.8046,0.9642,0.794
1,Random Forest,Full Features,0.7368,0.8861,0.8046,0.9802,0.7907
1,XGBoost,Full Features,0.8316,0.4647,0.5962,0.9762,0.7827
0,XGBoost,Selected Features,0.8211,0.3768,0.5166,0.9786,0.7608
0,Gradient Boosting,Selected Features,0.8421,0.1368,0.2353,0.9752,0.7276
1,Gradient Boosting,Full Features,0.8316,0.1411,0.2412,0.9754,0.715
1,Logistic Regression,Full Features,0.8737,0.0556,0.1046,0.9697,0.7109
2,XGBoost,PCA Features,0.8211,0.2889,0.4274,0.9568,0.6981
0,Logistic Regression,Selected Features,0.8737,0.059,0.1105,0.9714,0.6609
2,Logistic Regression,PCA Features,0.8737,0.0601,0.1125,0.9671,0.6444
2,Gradient Boosting,PCA Features,0.8421,0.1311,0.227,0.9501,0.6343
2,Decision Tree,PCA Features,0.8,0.0582,0.1086,0.8954,0.3417
1,Decision Tree,Full Features,0.8,0.1384,0.236,0.9074,0.2677
0,Decision Tree,Selected Features,0.8,0.1776,0.2906,0.9012,0.2668
